	1	2	3	4	integrase	excisionase	recombinase	transposase	lysogen	temperate	parA|ParA|parB|ParB	search_hits	feature_importance
335	pfam14659	Phage_int_SAM_3	Phage integrase, N-terminal SAM-like domain. This domain is found in a variety of phage integrase proteins.	57	1	0	0	0	0	0	0	1	0.0016002324059035775
303	pfam13011	LZ_Tnp_IS481	leucine-zipper of insertion element IS481. This is the upstream region of the conjoined ORF AB of insertion element 481. The significance of IS481 in the detection of Bordetella pertussis is discussed in. The B portion of the ORF AB carries the transposase activity in family rve, pfam00665.	85	0	0	0	1	0	0	0	1	0.0015579032367321716
332	pfam14372	DUF4413	Domain of unknown function (DUF4413). This domain is part of an RNase-H fold section of longer proteins some of which are transposable elements possibly of the Pong type, since some members are putative Tam3 transposases.	100	0	0	0	1	0	0	0	1	0.0015053311900672759
116	cd01123	Rad51_DMC1_radA	Rad51_DMC1_radA,B. This group of recombinases includes the eukaryotic proteins RAD51, RAD55/57 and the meiosis-specific protein DMC1, and the archaeal proteins radA and radB. They are closely related to the bacterial RecA group. Rad51 proteins catalyze a similiar recombination reaction as RecA, using ATP-dependent DNA binding activity and a DNA-dependent ATPase. However, this reaction is less efficient and requires accessory proteins such as RAD55/57 .	235	0	0	1	0	0	0	0	1	0.0014690219740964429
333	pfam14549	P22_Cro	DNA-binding transcriptional regulator Cro. Bacteriophage P22 Cro protein represses genes normally expressed in early phage development and is necessary for the late stage of lytic growth. It does this by binding to the OL and OR operator-regions normally used by the repressor protein for lysogenic maintenance.	59	0	0	0	0	1	0	0	1	0.0014665955498992895
331	pfam14319	Zn_Tnp_IS91	Transposase zinc-binding domain. This domain is likely to be a zinc-binding domain. It is found at the N-terminus of transposases belonging to the IS91 family.	92	0	0	0	1	0	0	0	1	0.0014583425153242588
3	COG1475	Spo0J	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain   [Cell cycle control, cell division, chromosome partitioning]. 	240	0	0	0	0	0	0	1	1	0.001417006034093382
320	pfam13613	HTH_Tnp_4	Helix-turn-helix of DDE superfamily endonuclease. This domain is the probable DNA-binding region of transposase enzymes, necessary for efficient DNA transposition. Most of the members derive from the IS superfamily IS5 and rather fewer from IS4.	53	0	0	0	1	0	0	0	1	0.0013929637572223739
227	pfam03050	DDE_Tnp_IS66	Transposase IS66 family. Transposase proteins are necessary for efficient DNA transposition. This family includes IS66 from Agrobacterium tumefaciens.	282	0	0	0	1	0	0	0	1	0.0013842869921364884
308	pfam13340	DUF4096	Putative transposase of IS4/5 family (DUF4096). 	76	0	0	0	1	0	0	0	1	0.001383330303743952
243	pfam05598	DUF772	Transposase domain (DUF772). This presumed domain is found at the N-terminus of many proteins found in transposons.	73	0	0	0	1	0	0	0	1	0.001367634219114368
94	TIGR03764	ICE_PFGI_1_parB	integrating conjugative element, PFGI_1 class, ParB family protein. Members of this protein family carry the ParB-type nuclease domain and are found in integrating conjugative elements (ICE) in the same class as PFGI-1 of Pseudomonas fluorescens Pf-5.	258	0	0	0	0	0	0	1	1	0.001351767879889988
356	pfam18718	CxC5	CxC5 like cysteine cluster associated with KDZ transposases. A predicted Zinc chelating domain present N-terminal to the KDZ transposase domain.	117	0	0	0	1	0	0	0	1	0.001336257648373787
210	pfam01610	DDE_Tnp_ISL3	Transposase. Transposase proteins are necessary for efficient DNA transposition. Contains transposases for IS204, IS1001, IS1096 and IS1165.	238	0	0	0	1	0	0	0	1	0.00129764700704564
278	pfam10743	Phage_Cox	Regulatory phage protein cox. This family of phage Cox proteins is expressed by Enterobacteria phages. The Cox protein is a 79-residue basic protein with a predicted strong helix-turn-helix DNA-binding motif. It inhibits integrative recombination and it activates site-specific excision of the HP1 genome from the Haemophilus influenzae chromosome, Hp1. Cox appears to function as a tetramer. Cox binding sites consist of two direct repeats of the consensus motif 5'-GGTMAWWWWA, one Cox tetramer binding to each motif. Cox binding interferes with the interaction of HP1 integrase with one of its binding sites, IBS5. This competition is central to directional control. Both Cox binding sites are needed for full inhibition of integration and for activating excision, because it plays a positive role in assembling the nucleoprotein complexes that produce excisive recombination, by inducing the formation of a critical conformation in those complexes.	87	1	0	0	0	0	0	0	1	0.001286060633598146
55	PRK08181	PRK08181	transposase; Validated	269	0	0	0	1	0	0	0	1	0.001255003576265613
101	cd00303	retropepsin_like	Retropepsins; pepsin-like aspartate proteases. The family includes pepsin-like aspartate proteases from retroviruses, retrotransposons and retroelements, as well as eukaryotic dna-damage-inducible proteins (DDIs), and bacterial aspartate peptidases. While fungal and mammalian pepsins are bilobal proteins with structurally related N and C-terminals, retropepsins are half as long as their fungal and mammalian counterparts. The monomers are structurally related to one lobe of the pepsin molecule and retropepsins function as homodimers. The active site aspartate occurs within a motif (Asp-Thr/Ser-Gly), as it does in pepsin. Retroviral aspartyl protease is synthesized as part of the POL polyprotein that contains an aspartyl protease, a reverse transcriptase, RNase H, and an integrase. The POL polyprotein undergoes specific enzymatic cleavage to yield the mature proteins. In aspartate peptidases, Asp residues are ligands of an activated water molecule in all examples where catalytic residues have been identified. This group of aspartate peptidases is classified by MEROPS as the peptidase family A2 (retropepsin family, clan AA), subfamily A2A.	92	1	0	0	0	0	0	0	1	0.0011810207216986588
315	pfam13542	HTH_Tnp_ISL3	Helix-turn-helix domain of transposase family ISL3. 	51	0	0	0	1	0	0	0	1	0.0011243469387501393
49	PRK00283	xerD	tyrosine recombinase. 	299	0	0	1	0	0	0	0	1	0.001090388161711043
189	cd18728	PIN_N4BP1-like	PRORP-like PIN domain of NEDD4 binding protein 1 and related proteins. NEDD4-binding partner-1 (N4BP1) interacts with and is a substrate of NEDD4 ubiquitin ligase (neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase). It is also an inhibitor of the E3 ubiquitin-protein ligase ITCH, a NEDD4 structurally related E3. This subfamily additionally includes NYNRIN (NYN domain and retroviral integrase containing, also known as CGIN1/Cousin of GIN1), and KHNYN (KH and NYN domain containing) protein. N4BP1, CGIN1, and KHNYN proteins are probably of retroviral origin. This subfamily belongs to the Zc3h12a-N4BP1-like PIN subfamily of the PRORP-Zc3h12a-like PIN family, the latter of which additionally includes human PRORP, also known as proteinaceous RNase P and mitochondrial RNase P protein subunit 3 (MRPP3), and Arabidopsis thaliana PRORP1-3. The PIN (PilT N terminus) domain belongs to a large nuclease superfamily. The structural properties of the PIN domain indicate its active center, consisting of three highly conserved catalytic residues which coordinate metal ions; in some members, additional metal coordinating residues can be found while some others lack several of these key catalytic residues. The PIN active site is geometrically similar in the active center of structure-specific 5' nucleases, PIN-domain ribonucleases of eukaryotic rRNA editing proteins, and bacterial toxins of toxin-antitoxin (TA) operons.	127	1	0	0	0	0	0	0	1	0.0010567499654603415
242	pfam05269	Phage_CII	Bacteriophage CII protein. This family consists of several phage CII regulatory proteins. CII plays a key role in the lysis-lysogeny decision in bacteriophage lambda and related phages.	91	0	0	0	0	1	0	0	1	0.001051183287253374
42	PHA02517	PHA02517	putative transposase OrfB; Reviewed	277	0	0	0	1	0	0	0	1	0.0009893096173111762
322	pfam13700	DUF4158	Domain of unknown function (DUF4158). The exact function of this domain is not clear, but it frequently occurs as an N-terminal region of transposase 3 or IS3 family of insertion elements.	166	0	0	0	1	0	0	0	1	0.0009820458601569814
58	PRK09409	PRK09409	IS2 transposase TnpB; Reviewed	301	0	0	0	1	0	0	0	1	0.0009451228581778893
370	smart00674	CENPB	Putative DNA-binding domain in centromere protein B, mouse jerky and transposases. 	66	0	0	0	1	0	0	0	1	0.0009437445770291644
313	pfam13495	Phage_int_SAM_4	Phage integrase, N-terminal SAM-like domain. 	84	1	0	0	0	0	0	0	1	0.0009306027484812749
104	cd00447	NusB_Sun	RNA binding domain of NusB (N protein-Utilization Substance B) and Sun (also known as RrmB or Fmu) proteins. This family includes two orthologous groups exemplified by the transcription termination factor NusB and the N-terminal domain of the rRNA-specific 5-methylcytidine transferase (m5C-methyltransferase) Sun. The NusB protein plays a key role in the regulation of ribosomal RNA biosynthesis in eubacteria by modulating the efficiency of transcriptional antitermination. NusB along with other Nus factors (NusA, NusE/S10 and NusG) forms the core complex with the boxA element of the nut site of the rRNA operons. These interactions help RNA polymerase to counteract polarity during transcription of rRNA operons and allow stable antitermination. The transcription antitermination system can be appropriated by some bacteriophages such as lambda, which use the system to switch between the lysogenic and lytic modes of phage propagation. The m5C-methyltransferase Sun shares the N-terminal non-catalytic RNA-binding domain with NusB.	129	0	0	0	0	1	0	0	1	0.0009161330504122934
66	PRK14702	PRK14702	insertion element IS2 transposase InsD; Provisional	262	0	0	0	1	0	0	0	1	0.0008587238386077361
236	pfam04754	Transposase_31	Putative transposase, YhgA-like. This family of putative transposases includes the YhgA sequence from Escherichia coli and several prokaryotic homologs.	202	0	0	0	1	0	0	0	1	0.0008526261941339874
271	pfam09684	Tail_P2_I	Phage tail protein (Tail_P2_I). These sequences represent the family of phage P2 protein I and related tail proteins from a number of temperate phage of Gram-negative bacteria.	132	0	0	0	0	0	1	0	1	0.0008172962023004604
347	pfam17921	Integrase_H2C2	Integrase zinc binding domain. This zinc binding domain is found in a wide variety of integrase proteins.	58	1	0	0	0	0	0	0	1	0.000817054240166779
355	pfam18717	CxC4	CxC4 like cysteine cluster associated with KDZ transposases. A predicted Zinc chelating domain present N-terminal to the KDZ transposase domain.	133	0	0	0	1	0	0	0	1	0.0007980878565035359
221	pfam02899	Phage_int_SAM_1	Phage integrase, N-terminal SAM-like domain. 	84	1	0	0	0	0	0	0	1	0.0007619126593114539
69	TIGR00616	rect	recombinase, phage RecT family. All proteins in this family for which functions are known bind ssDNA and are involved in the the pairing of homologous DNA This family is based on the phylogenomic analysis of JA Eisen (1999, Ph.D. Thesis, Stanford University). RecT and homologs are found in prophage regions of bacterial genomes. RecT works with a partner protein, RecE. [DNA metabolism, DNA replication, recombination, and repair, Mobile and extrachromosomal element functions, Prophage functions]	241	0	0	1	0	0	0	0	1	0.0007254298290536493
293	pfam12762	DDE_Tnp_IS1595	ISXO2-like transposase domain. This domain probably functions as an integrase that is found in a wide variety of transposases, including ISXO2.	151	1	0	0	1	0	0	0	2	0.0007089062993957593
349	pfam18090	SoPB_HTH	Centromere-binding protein HTH domain. This domain is found in centromere-binding protein (SopB). SopB displays an intriguing range of DNA-binding properties essential for partition; it binds the centromere to form a partition complex, which recruits NTPase (SopA), and it also inhibits SopA polymerization. The domain has a helix-turn-helix (HTH) structure and is thought to be the specific DNA-binding domain mainly through residues from the recognition helix, alpha 3, of the HTH. The domain has show structural similarity to the DNA-binding domains of P1 ParB and KorB.	75	0	0	0	0	0	0	1	1	0.0006984336144083279
78	TIGR02126	phgtail_TP901_1	phage major tail protein, TP901-1 family. This family includes the members of pfam06199 but is broader. Characterized members are major tail proteins from various phage, including lactococcal temperate bacteriophage TP901-1. [Mobile and extrachromosomal element functions, Prophage functions]	136	0	0	0	0	0	1	0	1	0.0006979648265555489
299	pfam13005	zf-IS66	zinc-finger binding domain of transposase IS66. This is a zinc-finger region of the N-terminus of the insertion element IS66 transposase.	46	0	0	0	1	0	0	0	1	0.0006954466465621685
27	COG4342	COG4342	Intergrase/Recombinase [Mobilome: prophages, transposons]. 	291	0	0	1	0	0	0	0	1	0.0006813374743379549
269	pfam09588	YqaJ	YqaJ-like viral recombinase domain. This protein family is found in many different bacterial species but is of viral origin. The protein forms an oligomer and functions as a processive alkaline exonuclease that digests linear double-stranded DNA in a Mg(2+)-dependent reaction, It has a preference for 5'-phosphorylated DNA ends. It thus forms part of the two-component SynExo viral recombinase functional unit.	144	0	0	1	0	0	0	0	1	0.0006769400123124794
261	pfam08775	ParB	ParB family. ParB is a component of the par system which mediates accurate DNA partition during cell division. It recognizes A-box and B-box DNA motifs. ParB forms an asymmetric dimer with 2 extended helix-turn-helix (HTH) motifs that bind to A-boxes. The HTH motifs emanate from a beta sheet coiled coil DNA binding module. Both DNA binding elements are free to rotate around a flexible linker, this enables them to bind to complex arrays of A- and B-box elements on adjacent DNA arms of the looped partition site.	125	0	0	0	0	0	0	1	1	0.0006626494947847922
254	pfam07282	OrfB_Zn_ribbon	Putative transposase DNA-binding domain. This putative domain is found at the C-terminus of a large number of transposase proteins. This domain contains four conserved cysteines suggestive of a zinc binding domain. Given the need for transposases to bind DNA as well as the large number of DNA-binding zinc fingers we hypothesize this domain is DNA-binding.	69	0	0	0	1	0	0	0	1	0.000624813653537862
350	pfam18103	SH3_11	Retroviral integrase C-terminal SH3 domain. This is the carboxy-terminal domain (CTD) found in retroviral integrase, an essential retroviral enzyme that binds both termini of linear viral DNA and inserts them into a host cell chromosome. The CTD adopts an SH3-like fold. Each CTD makes contact with the phosphodiester backbone of both viral DNA molecules, essentially crosslinking the structure.	63	1	0	0	0	0	0	0	1	0.000616248701749246
341	pfam16795	Phage_integr_3	Archaeal phage integrase. catalyzes cleavage and ligation of DNA.	162	1	0	0	0	0	0	0	1	0.0005876217219772061
154	cd06095	RP_RTVL_H_like	Retropepsin of the RTVL_H family of human endogenous retrovirus-like elements. This family includes aspartate proteases from retroelements with LTR (long terminal repeats) including the RTVL_H family of human endogenous retrovirus-like elements. While fungal and mammalian pepsins are bilobal proteins with structurally related N- and C-termini, retropepsins are half as long as their fungal and mammalian counterparts. The monomers are structurally related to one lobe of the pepsin molecule and retropepsins function as homodimers. The active site aspartate occurs within a motif (Asp-Thr/Ser-Gly), as it does in pepsin. Retroviral aspartyl protease is synthesized as part of the POL polyprotein that contains an aspartyl protease, a reverse transcriptase, RNase H, and an integrase. The POL polyprotein undergoes specific enzymatic cleavage to yield the mature proteins. In aspartate peptidases, Asp residues are ligands of an activated water molecule in all examples where catalytic residues have been identified. This group of aspartate peptidases is classified by MEROPS as the peptidase family A2 (retropepsin family, clan AA), subfamily A2A.	86	1	0	0	0	0	0	0	1	0.0005773960999226176
131	cd01196	INT_C_like_6	Uncharacterized site-specific tyrosine recombinase, C-terminal catalytic domain. Tyrosine recombinase (integrase) belongs to a DNA breaking-rejoining enzyme superfamily. The catalytic domain contains six conserved active site residues. The recombination reaction involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.	183	1	0	1	0	0	0	0	2	0.0005687996881566183
72	TIGR01634	tail_P2_I	phage tail protein, P2 protein I family. This model represents the family of phage P2 protein I and related tail proteins from a number of temperate phage of Gram-negative bacteria. This model is built as a fragment model and identifies some phage tail proteins with strong but local similarity to members of the seed alignment. [Mobile and extrachromosomal element functions, Prophage functions]	139	0	0	0	0	0	1	0	1	0.0005488075861472002
153	cd06094	RP_Saci_like	RP_Saci_like, retropepsin family. Retropepsin on retrotransposons with long terminal repeats (LTR) including Saci-1, -2 and -3 of Schistosoma mansoni. Retropepsins are related to fungal and mammalian pepsins. While fungal and mammalian pepsins are bilobal proteins with structurally related N- and C-termini, retropepsins are half as long as their fungal and mammalian counterparts. The monomers are structurally related to one lobe of the pepsin molecule and retropepsins function as homodimers. The active site aspartate occurs within a motif (Asp-Thr/Ser-Gly), as it does in pepsin. Retroviral aspartyl protease is synthesized as part of the POL polyprotein that contains an aspartyl protease, a reverse transcriptase, RNase H, and an integrase. The POL polyprotein undergoes specific enzymatic cleavage to yield the mature proteins. In aspartate peptidases, Asp residues are ligands of an activated water molecule in all examples where catalytic residues have been identified. This group of aspartate peptidases is classified by MEROPS as the peptidase family A2 (retropepsin family, clan AA), subfamily A2A.	89	1	0	0	0	0	0	0	1	0.000547707548168227
29	COG4584	COG4584	Transposase [Mobilome: prophages, transposons]. 	278	0	0	0	1	0	0	0	1	0.0005278018697249911
275	pfam10539	Dev_Cell_Death	Development and cell death domain. The DCD domain is found in plant proteins involved in development and cell death. The DCD domain is an approximately 130 amino acid long stretch that contains several mostly invariable motifs. These include a FGLP and a LFL motif at the N-terminus and a PAQV and a PLxE motif towards the C-terminus of the domain. The DCD domain is present in proteins with different architectures. Some of these proteins contain additional recognisable motifs, like the KELCH repeats or the ParB domain.	126	0	0	0	0	0	0	1	1	0.000518736874166424
247	pfam06291	Lambda_Bor	Bor protein. This family consists of several Bacteriophage lambda Bor and Escherichia coli Iss proteins. Expression of bor significantly increases the survival of the Escherichia coli host cell in animal serum. This property is a well known bacterial virulence determinant indeed, bor and its adjacent sequences are highly homologous to the iss serum resistance locus of the plasmid ColV2-K94, which confers virulence in animals. It has been suggested that lysogeny may generally have a role in bacterial survival in animal hosts, and perhaps in pathogenesis.	74	0	0	0	0	1	0	0	1	0.0004868483235203352
32	COG4974	XerD	Site-specific recombinase XerD [Replication, recombination and repair]. 	300	0	0	1	0	0	0	0	1	0.0004835653418886478
162	cd16390	ParB_N_Srx_like	uncharacterized family distantly related to the N-terminal domain of the ParB/Srx superfamily. Uncharacterized proteins distantly related to the N-terminal domain of the ParB superfamily, primarily involved in bacterial and plasmid parABS-related partitioning systems. A small minority of proteins in this family include a C-terminal inorganic pyrophosphatase domain. Also within the ParB superfamily is sulfiredoxin (Srx), which is a reactivator of oxidatively inactivated 2-cys peroxiredoxins. Other families includes a putative regulator in the biosynthetic gene cluster and a family containing a Pyrococcus furiosus nuclease and putative transcriptional regulators SbnI (Staphylococcus aureus siderophore biosynthetic gene cluster ) and EdeB (Brevibacillus brevis antimicrobial peptide edeine biosynthetic cluster). Nuclease activity has also been reported in Arabidopsis Srx.	162	0	0	0	0	0	0	1	1	0.0004486153904043271
306	pfam13102	Phage_int_SAM_5	Phage integrase SAM-like domain. A family of uncharacterized proteins found by clustering human gut metagenomic sequences. This family appears related to the N-terminal domain of phage integrases.	98	1	0	0	0	0	0	0	1	0.0004407758328467123
177	cd16407	ParB_N_like	"ParB N-terminal, parA-binding, -like domain of bacterial and plasmid parABS partitioning systems. This family represents the N-terminal domain of ParB, a DNA-binding component of the prokaryotic parABS partitioning system. parABS contributes to the efficient segregation of chromosomes and low-copy number plasmids to daughter cells during prokaryotic cell division. The process includes the parA (Walker box) ATPase, the ParB DNA-binding protein and a parS cis-acting DNA sites. Binding of ParB to centromere-like parS sites is followed by non-specific binding to DNA (""spreading"", which has been implicated in gene silencing in plasmid P1) and oligomerization of additional ParB molecules near the parS sites. It has been proposed that ParB-ParB cross-linking compacts the DNA, binds to parA via the N-terminal region, and leads to parA separating the ParB-parS complexes and the recruitment of the SMC (structural maintenance of chromosomes) complexes. The ParB N-terminal domain of Bacillus subtilis and other species contains a Arginine-rich ParB Box II with residues essential for bridging of the ParB-parS complexes. The arginine-rich ParB Box II consensus (I[VIL]AGERR[FYW]RA[AS] identified in several species is partially conserved with this family and related families. Mutations within the basic columns particularly debilitate spreading from the parS sites and impair SMC recruitment. The C-terminal domain contains a HTH DNA-binding motif and is the primary homo-dimerization domain, and binds to parS DNA sites. Additional homo-dimerization contacts are found along the N-terminal domain, but dimerization of the N-terminus may only occur after concentration at ParB-parS foci."	86	0	0	0	0	0	0	1	1	0.0004289047769055217
325	pfam13751	DDE_Tnp_1_6	Transposase DDE domain. Transposase proteins are necessary for efficient DNA transposition. This domain is a member of the DDE superfamily, which contain three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis.	125	0	0	0	1	0	0	0	1	0.0004067582081104572
270	pfam09669	Phage_pRha	Phage regulatory protein Rha (Phage_pRha). Members of this protein family are found in temperate phage and bacterial prophage regions. Members include the product of the rha gene of the lambdoid phage phi-80, a late operon gene. The presence of this gene interferes with infection of bacterial strains that lack integration host factor (IHF), which regulates the rha gene. It is suggested that Rha is a phage regulatory protein.	91	0	0	0	0	0	1	0	1	0.0003968085533121598
62	PRK09871	PRK09871	tyrosine recombinase; Provisional	198	0	0	1	0	0	0	0	1	0.00039531834309575696
257	pfam07825	Exc	Excisionase-like protein. The phage-encoded excisionase protein (Xis) is involved in excisive recombination by regulating the assembly of the excisive intasome and by inhibiting viral integration. It adopts an unusual 'winged'-helix structure in which two alpha helices are packed against two extended strands. Also present in the structure is a two-stranded anti-parallel beta-sheet, whose strands are connected by a four-residue 'wing'. During interaction with DNA, helix alpha2 is thought to insert into the major groove, while the wing contacts the adjacent minor groove or phosphodiester backbone. The C-terminal region of Xis is involved in interaction with phage-encoded integrase (Int), and a putative C-terminal alpha helix may fold upon interaction with Int and/or DNA.	72	1	1	0	0	0	0	0	2	0.0003899900155790709
251	pfam06806	DUF1233	Putative excisionase (DUF1233). This family consists of several putative phage excisionase proteins of around 80 residues in length.	70	0	1	0	0	0	0	0	1	0.00036672988721925725
13	COG3039	IS5	Transposase and inactivated derivatives, IS5 family [Mobilome: prophages, transposons]. 	230	0	0	0	1	0	0	0	1	0.00035607945640008784
206	pfam01526	DDE_Tnp_Tn3	Tn3 transposase DDE domain. This family includes transposases of Tn3, Tn21, Tn1721, Tn2501, Tn3926 transposons from E-coli. The specific binding of the Tn3 transposase to DNA has been demonstrated. Sequence analysis has suggested that the invariant triad of Asp689, Asp765, Glu895 (numbering as in Tn3) may correspond to the D-D-35-E motif previously implicated in the catalysis of numerous transposases.	388	0	0	0	1	0	0	0	1	0.0003497680676345014
280	pfam11372	DUF3173	Domain of unknown function (DUF3173). This family of proteins with unknown function appears to be restricted to Firmicutes. These proteins appear to be distantly related to HHH domains and are therefore likely to be DNA-binding. Genomic environment-visualisation confirms the likely function as being DNA-binding, as this short protein lies very closely between an integrase and a replication protein (http://www.microbesonline.org/).	58	1	0	0	0	0	0	0	1	0.0003386521235880783
263	pfam09003	Arm-DNA-bind_1	Bacteriophage lambda integrase, Arm DNA-binding domain. The amino terminal domain of bacteriophage lambda integrase folds into a three-stranded, antiparallel beta-sheet that packs against a C-terminal alpha-helix, adopting a fold that is structurally related to the three-stranded beta-sheet family of DNA-binding domains (which includes the GCC-box DNA-binding domain and the N-terminal domain of Tn916 integrase). This domain is responsible for high-affinity binding to each of the five DNA arm-type sites and is also a context-sensitive modulator of DNA cleavage.	72	1	0	0	0	0	0	0	1	0.00033817726504966765
246	pfam06199	Phage_tail_2	Phage tail tube protein. characterized members are major tail tube proteins from various phages, including lactococcal temperate bacteriophage TP901-1.	134	0	0	0	0	0	1	0	1	0.00033572776484706726
18	COG3335	COG3335	Transposase [Mobilome: prophages, transposons]. 	132	0	0	0	1	0	0	0	1	0.00031910766078176324
126	cd01191	INT_C_like_2	Uncharacterized site-specific tyrosine recombinase, C-terminal catalytic domain. Tyrosine recombinase (integrase) belongs to a DNA breaking-rejoining enzyme superfamily. The catalytic domain contains six conserved active site residues. The recombination reaction involves cleavage of a single strand of a DNA duplex by nucleophilic attack of a conserved tyrosine to give a 3' phosphotyrosyl protein-DNA adduct. In the second rejoining step, a terminal 5' hydroxyl attacks the covalent adduct to release the enzyme and generate duplex DNA. Many DNA breaking-rejoining enzymes also have N-terminal domains, which show little sequence or structure similarity.	176	1	0	1	0	0	0	0	2	0.0003139462774153206
199	pfam00552	IN_DBD_C	Integrase DNA binding domain. Integrase mediates integration of a DNA copy of the viral genome into the host chromosome. Integrase is composed of three domains. The amino-terminal domain is a zinc binding domain. The central domain is the catalytic domain pfam00665. This domain is the carboxyl terminal domain that is a non-specific DNA binding domain.	50	1	0	0	0	0	0	0	1	0.0003071441305544306
185	cd16844	ParB_N_like_MT	"ParB N-terminal-like domain, some attached to C-terminal S-adenosylmethionine-dependent methyltransferase domain. This family represents domains related to the N-terminal domain of ParB, a DNA-binding component of the prokaryotic parABS partitioning system, fused to a variety of C-terminal domains, including S-adenosylmethionine-dependent methyltransferase-like domains and DUF4417. parABS contributes to the efficient segregation of chromosomes and low-copy number plasmids to daughter cells during prokaryotic cell division. The process includes the parA (Walker box) ATPase, the ParB DNA-binding protein and a parS cis-acting DNA sites. Binding of ParB to centromere-like parS sites is followed by non-specific binding to DNA (""spreading"", which has been implicated in gene silencing in plasmid P1) and oligomerization of additional ParB molecules near the parS sites. It has been proposed that ParB-ParB cross-linking compacts the DNA, binds to parA via the N-terminal region, and leads to parA separating the ParB-parS complexes and the recruitment of the SMC (structural maintenance of chromosomes) complexes. The ParB N-terminal domain of Bacillus subtilis and other species contains a Arginine-rich ParB Box II with residues essential for bridging of the ParB-parS complexes. The arginine-rich ParB Box II consensus (I[VIL]AGERR[FYW]RA[AS] identified in several species is partially conserved with this family and related families. Mutations within the basic columns particularly debilitate spreading from the parS sites and impair SMC recruitment. The C-terminal domain contains a HTH DNA-binding motif and is the primary homo-dimerization domain, and binds to parS DNA sites. Additional homo-dimerization contacts are found along the N-terminal domain, but dimerization of the N-terminus may only occur after concentration at ParB-parS foci."	54	0	0	0	0	0	0	1	1	0.0003053312606989897
365	pfam18804	CxC3	CxC3 like cysteine cluster associated with KDZ transposases. A predicted Zinc chelating domain present N-terminal to the KDZ transposase domain.	113	0	0	0	1	0	0	0	1	0.00029832357729644434
256	pfam07592	DDE_Tnp_ISAZ013	Rhodopirellula transposase DDE domain. These transposases are found in the planctomycete Rhodopirellula baltica, the cyanobacterium Nostoc, and the Gram-positive bacterium Streptomyces.	308	0	0	0	1	0	0	0	1	0.00027985553281902335
9	COG2801	Tra5	Transposase InsO and inactivated derivatives [Mobilome: prophages, transposons]. 	232	0	0	0	1	0	0	0	1	0.00025741903606926395
23	COG3547	COG3547	Transposase [Mobilome: prophages, transposons]. 	303	0	0	0	1	0	0	0	1	0.0002570507940520857
362	pfam18763	ddrB-ParB	ddrB-like ParB superfamily domain. A member of the ParB/sulfiredoxin superfamily of proteins found in polyvalent proteins prototyped by the version in the phage P1 ddRB protein. These proteins are predicted to function as nucleases.	122	0	0	0	0	0	0	1	1	0.00024054399544529612
291	pfam12713	DUF3806	Domain of unknown function (DUF3806). This family represent the C-terminal domain of the structure. In two related Bacteroides species the gene lies immediately upstream from a putative ATP binding component of an ATP transporter and a putative histidinol phosphatase. The structure of this domain is strikingly similar to the N-terminal structure of 1ma7 whose C-terminal domain is a phage integrase, pfam00589.	86	1	0	0	0	0	0	0	1	0.00022988430490400888
165	cd16394	sopB_N	N-terminal domain of sopB protein, which promotes proper partitioning of F1 plasmid. Escherichia coli SopB acts in the equitable partitioning of the F plasmid in the SopABC system. SopA binds to the sopAB promoter, while SopB binds SopC and helps stimulate polymerization of SopA in the presence of ATP and Mg(II). Mutation of SopA inhibits proper plasmid segregation. This N-terminal domain is related to the ParB N-terminal domain of bacterial and plasmid parABS partitioning systems, which binds parA.	67	0	0	0	0	0	0	1	1	0.00020669872515040235
197	cd18978	CD_DDE_transposase_like	chromodomain of Rhizopus microsporus putative DDE transposases, and similar proteins. This subgroup includes the CHROMO (CHRromatin Organization Modifier) domain found in Rhizopus microsporus putative DDE transposases, and similar proteins. The chromodomain, is a conserved region of about 50 amino acids, found in a variety of chromosomal proteins, and implicated in the binding, of the proteins in which it is found, to methylated histone tails and maybe RNA. A chromodomain may occur as a single instance, in a tandem arrangement, or followed by a related chromo shadow domain.	52	0	0	0	1	0	0	0	1	0.00019334810506606206
15	COG3316	Rve	Transposase (or an inactivated derivative) [Mobilome: prophages, transposons]. 	215	0	0	0	1	0	0	0	1	0.00018951883326777592
111	cd00799	INT_Cre_C	C-terminal catalytic domain of Cre recombinase (also called integrase). Cre-like recombinases are tyrosine based site specific recombinases. They belong to the superfamily of DNA breaking-rejoining enzymes, which share the same fold in their catalytic domain and the overall reaction mechanism. The bacteriophage P1 Cre recombinase maintains the circular phage replicon in a monomeric state by catalyzing a site-specific recombination between two loxP sites. The catalytic core domain of Cre recombinase is linked to a more divergent helical N-terminal domain, which interacts primarily with the DNA major groove proximal to the crossover region.	188	1	0	1	0	0	0	0	2	0.00018928337915681404
231	pfam03400	DDE_Tnp_IS1	IS1 transposase. Transposase proteins are necessary for efficient DNA transposition. This family represents bacterial IS1 transposases.	131	0	0	0	1	0	0	0	1	0.00017721895367929435
